WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
     18666.68            0.
     18666.85            0.
     18667.03            0.
     18667.24            0.
     18667.42            0.
     18667.58            0.
     18667.77   7.206781E-5
     18667.95   1.719728E-4
     18668.14   2.017013E-4
     18668.32   2.072894E-4
     18668.51   2.128776E-4
     18668.69   2.185253E-4
     18668.88   2.241133E-4
     18669.06   2.297608E-4
     18669.24   2.353489E-4
     18669.41   2.403424E-4
     18669.61   2.465843E-4
     18669.78   2.515779E-4
     18669.96   2.572253E-4
     18670.17   1.987230E-4
     18670.33   1.404782E-4
     18670.52   7.529969E-5
      18670.7   1.012143E-5
     18670.88            0.
     18671.07            0.
     18671.25            0.
     18671.44            0.
      18671.6            0.
     18671.81            0.
     18671.99            0.
     18672.16            0.
     18672.34            0.
     18672.53            0.
     18672.71            0.
     18672.89            0.
     18673.08            0.
     18673.26            0.
     18673.45            0.
     18673.63            0.
     18673.82            0.
       18674.            0.
     18674.16            0.
     18674.35            0.
     18674.53            0.
     18674.72            0.
      18674.9            0.
     18675.09            0.
     18675.27            0.
     18675.46            0.
     18675.64            0.
     18675.83            0.
     18676.01            0.
      18676.2            0.
     18676.36            0.
     18676.54            0.
     18676.75            0.
     18676.91            0.
      18677.1            0.
     18677.28            0.
     18677.47            0.
     18677.65            0.
     18677.84            0.
     18678.02            0.
     18678.18            0.
     18678.39            0.
     18678.57            0.
     18678.74            0.
     18678.92            0.
     18679.11            0.
     18679.29   4.115048E-5
     18679.48   1.486829E-4
     18679.66   2.550829E-4
     18679.85   3.626145E-4
     18680.03   4.435817E-4
     18680.21   3.900415E-4
      18680.4   3.370652E-4
     18680.58   2.835254E-4
     18680.77   2.305495E-4
     18680.93   1.832093E-4
     18681.12   1.296702E-4
      18681.3   7.669485E-5
     18681.49   2.315609E-5
     18681.67            0.
     18681.86            0.
     18682.04            0.
     18682.22            0.
     18682.41            0.
     18682.59            0.
     18682.78            0.
     18682.94            0.
     18683.15            0.
     18683.33            0.
      18683.5            0.
     18683.68            0.
     18683.87            0.
     18684.05            0.
     18684.23            0.
     18684.42            0.
      18684.6            0.
     18684.79   4.712179E-5
     18684.97   1.142968E-4
     18685.16   1.821860E-4
     18685.32   2.422143E-4
     18685.53   3.172492E-4
     18685.69   3.772771E-4
     18685.88   4.451654E-4
     18686.06   4.753257E-4
     18686.25   4.297862E-4
     18686.43   3.847259E-4
     18686.62   3.391868E-4
      18686.8   2.941271E-4
     18686.98   2.485880E-4
     18687.17   2.035288E-4
     18687.35   1.579902E-4
     18687.52   1.177246E-4
