WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
     3211.969   1.085367E-9
     3212.371   1.128606E-9
     3212.771   1.171842E-9
     3213.173   1.215441E-9
     3213.574   1.259061E-9
     3213.974   1.302832E-9
     3214.375   1.346816E-9
     3214.777   1.391167E-9
     3215.178   1.435500E-9
      3215.58   1.480192E-9
     3215.981   1.524898E-9
     3216.384   1.569984E-9
     3216.784   1.615029E-9
     3217.185   1.660279E-9
     3217.586   1.705731E-9
     3217.989   1.751528E-9
      3218.39   1.797341E-9
     3218.791   1.843330E-9
     3219.192   1.889487E-9
     3219.597   1.936236E-9
     3219.998   1.982738E-9
       3220.4   2.063105E-9
     3220.801   2.143929E-9
     3221.204   2.225427E-9
     3221.606   2.306955E-9
     3222.007   2.388748E-9
     3222.409   2.470895E-9
     3222.812   2.553705E-9
     3223.216   2.636877E-9
     3223.617   2.719952E-9
     3224.019   2.803339E-9
     3224.421   2.887097E-9
     3224.824   2.971523E-9
     3225.226   3.055941E-9
     3225.628   3.140606E-9
      3226.03   3.225632E-9
     3226.434   3.311352E-9
     3226.838   3.397382E-9
      3227.24   3.483364E-9
     3227.642   3.569659E-9
     3228.046   3.656679E-9
     3228.448   3.743613E-9
     3228.851   3.830853E-9
     3229.253   3.918408E-9
     3229.657   4.006697E-9
     3230.062   4.104165E-9
     3230.464   4.250633E-9
     3230.867   4.397636E-9
     3231.271   4.545810E-9
     3231.674   4.693989E-9
     3232.077   4.842611E-9
     3232.479   4.991856E-9
     3232.884   5.142361E-9
     3233.287   5.292658E-9
      3233.69   5.443479E-9
     3234.095   5.595568E-9
     3234.498   5.747559E-9
     3234.903   5.900819E-9
     3235.306   6.053837E-9
     3235.709   6.207461E-9
     3236.114   6.362283E-9
     3236.517   6.516932E-9
     3236.921   6.672296E-9
     3237.326   6.828711E-9
     3237.729   6.985075E-9
     3238.135   7.142628E-9
     3238.538   7.300037E-9
     3238.942   7.457966E-9
     3239.345   7.616434E-9
     3239.751   7.776197E-9
     3240.155   7.968436E-9
     3240.559   8.213908E-9
     3240.962   8.460203E-9
      3241.37   8.709515E-9
     3241.774   8.957554E-9
     3242.178   9.206443E-9
     3242.582   9.456183E-9
     3242.988   9.707810E-9
     3243.392   9.959345E-9
     3243.796   1.021155E-8
       3244.2   1.046470E-8
     3244.606   1.071973E-8
     3245.013   1.097573E-8
     3245.417   1.123146E-8
     3245.822   1.148786E-8
     3246.228   1.174635E-8
     3246.632   1.200459E-8
     3247.037   1.226380E-8
     3247.442   1.252354E-8
     3247.848   1.278534E-8
     3248.253   1.304690E-8
      3248.66   1.331057E-8
     3249.064   1.357375E-8
     3249.469   1.383782E-8
     3249.876   1.410381E-8
     3250.281   1.444063E-8
     3250.686   1.480984E-8
     3251.091   1.518015E-8
     3251.498   1.555330E-8
     3251.905   1.592758E-8
     3252.311   1.630135E-8
     3252.716   1.667623E-8
     3253.123   1.705408E-8
     3253.529   1.743158E-8
     3253.934   1.780995E-8
     3254.339   1.818952E-8
     3254.747   1.857200E-8
     3255.152   1.895378E-8
     3255.558   1.933698E-8
     3255.964   1.972127E-8
     3256.373   2.011009E-8
     3256.779   2.049652E-8
     3257.185   2.088404E-8
     3257.591   2.127289E-8
     3257.997   2.166283E-8
     3258.405   2.205550E-8
     3258.811   2.244785E-8
     3259.219   2.284301E-8
     3259.625   2.323744E-8
     3260.033   2.364568E-8
     3260.439   2.417330E-8
     3260.845   2.470245E-8
     3261.252   2.523339E-8
      3261.66   2.576806E-8
     3262.067   2.630206E-8
     3262.473   2.683779E-8
      3262.88   2.737503E-8
     3263.288   2.791621E-8
     3263.697   2.845884E-8
     3264.103   2.900073E-8
      3264.51   2.954451E-8
     3264.919   3.009177E-8
     3265.326   3.063864E-8
     3265.733   3.118706E-8
      3266.14   3.173692E-8
     3266.549   3.229087E-8
     3266.957   3.284600E-8
     3267.365   3.340054E-8
     3267.772   3.395657E-8
     3268.181   3.451656E-8
     3268.588   3.507620E-8
     3268.995   3.563700E-8
     3269.403   3.619929E-8
     3269.812   3.676544E-8
     3270.219   3.740849E-8
     3270.627   3.812041E-8
     3271.037   3.883722E-8
     3271.444   3.955231E-8
     3271.854   4.027316E-8
     3272.261   4.099261E-8
     3272.669   4.171405E-8
     3273.077   4.243779E-8
     3273.487   4.316637E-8
     3273.895   4.389380E-8
     3274.305   4.462649E-8
     3274.713   4.535754E-8
     3275.123   4.609406E-8
     3275.531   4.682957E-8
     3275.939   4.756696E-8
     3276.347   4.830609E-8
     3276.757   4.905061E-8
     3277.166   4.979390E-8
     3277.574   5.053904E-8
     3277.983   5.128603E-8
     3278.395   5.204174E-8
     3278.803   5.279261E-8
     3279.212   5.354553E-8
     3279.621   5.430008E-8
     3280.031   5.507111E-8
      3280.44   5.598160E-8
     3280.849   5.689380E-8
     3281.258   5.780852E-8
     3281.668   5.872912E-8
     3282.079   5.965256E-8
     3282.488   6.057400E-8
     3282.897   6.149823E-8
     3283.306   6.242481E-8
     3283.717   6.335755E-8
     3284.126   6.428854E-8
     3284.536   6.522207E-8
     3284.945   6.615781E-8
     3285.356   6.709983E-8
     3285.768   6.804409E-8
     3286.177   6.898723E-8
     3286.587   6.993200E-8
     3286.998   7.088349E-8
     3287.408   7.183323E-8
     3287.817   7.278517E-8
     3288.229   7.374386E-8
     3288.639   7.470015E-8
     3289.051   7.566381E-8
      3289.46   7.662447E-8
      3289.87   7.758846E-8
      3290.28   7.863895E-8
     3290.692   7.973637E-8
     3291.102   8.083163E-8
     3291.512   8.192892E-8
     3291.924   8.303331E-8
     3292.335   8.413704E-8
     3292.745   8.524280E-8
     3293.157   8.635669E-8
     3293.569   8.747186E-8
      3293.98   8.858491E-8
      3294.39   8.970181E-8
     3294.801   9.082125E-8
     3295.213   9.194773E-8
     3295.624   9.307195E-8
     3296.035   9.419863E-8
     3296.447   9.533316E-8
     3296.858   9.646551E-8
     3297.271   9.760489E-8
