WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
     2756.291   9.241321E-7
     2756.686   9.237224E-7
     2757.082   9.233115E-7
     2757.479   9.229028E-7
     2757.874   9.224952E-7
     2758.271   9.220850E-7
     2758.666   9.216749E-7
     2759.061   9.212652E-7
     2759.458   9.208561E-7
     2759.854   9.204485E-7
     2760.249   9.200274E-7
     2760.646   9.195966E-7
     2761.042   9.191677E-7
     2761.439   9.187370E-7
     2761.836   9.183062E-7
     2762.232   9.178769E-7
     2762.627   9.174477E-7
     2763.025   9.170169E-7
     2763.421   9.165886E-7
     2763.817   9.161610E-7
     2764.214   9.157297E-7
     2764.612   9.152976E-7
     2765.008   9.148666E-7
     2765.406   9.144358E-7
     2765.802   9.140061E-7
     2766.198   9.135769E-7
     2766.596   9.131473E-7
     2766.993   9.127186E-7
     2767.389   9.122903E-7
     2767.787   9.118599E-7
     2768.184   9.114311E-7
     2768.582   9.109995E-7
      2768.98   9.105680E-7
     2769.377   9.101381E-7
     2769.774   9.097083E-7
     2770.172   9.092910E-7
     2770.569   9.088943E-7
     2770.966   9.084973E-7
     2771.365   9.080978E-7
     2771.763   9.076982E-7
     2772.161   9.073016E-7
     2772.558   9.069070E-7
     2772.957   9.065108E-7
     2773.354   9.061139E-7
     2773.751   9.057164E-7
      2774.15   9.053178E-7
     2774.548   9.049202E-7
     2774.947   9.045215E-7
     2775.345   9.041250E-7
     2775.744   9.037269E-7
     2776.142   9.033301E-7
     2776.541   9.029309E-7
     2776.939   9.025331E-7
     2777.337   9.021351E-7
     2777.736   9.017355E-7
     2778.134   9.013378E-7
     2778.532   9.009396E-7
     2778.934   9.005386E-7
     2779.332   9.001415E-7
      2779.73   8.997444E-7
      2780.13   8.993388E-7
     2780.528   8.989198E-7
     2780.927   8.985010E-7
     2781.327   8.980847E-7
     2781.725   8.976705E-7
     2782.124   8.972557E-7
     2782.524   8.968377E-7
     2782.924   8.964195E-7
     2783.323   8.960026E-7
     2783.723   8.955845E-7
     2784.122   8.951682E-7
     2784.521   8.947526E-7
     2784.922   8.943353E-7
     2785.321   8.939198E-7
      2785.72   8.935039E-7
     2786.121   8.930858E-7
     2786.521   8.926675E-7
     2786.921   8.922502E-7
     2787.322   8.918304E-7
     2787.721   8.914120E-7
     2788.121   8.909942E-7
     2788.521   8.905766E-7
     2788.921   8.901603E-7
     2789.321   8.897443E-7
     2789.722   8.893264E-7
     2790.123   8.889089E-7
     2790.523   8.884937E-7
     2790.923   8.880786E-7
     2791.324   8.876628E-7
     2791.724   8.872489E-7
     2792.126   8.868325E-7
     2792.526   8.864158E-7
     2792.926   8.859992E-7
     2793.328   8.855821E-7
      2793.73   8.851650E-7
      2794.13   8.847500E-7
     2794.531   8.843371E-7
     2794.932   8.839223E-7
     2795.333   8.835069E-7
     2795.733   8.830913E-7
     2796.136   8.826740E-7
     2796.536   8.822594E-7
     2796.937   8.818447E-7
     2797.341   8.814270E-7
     2797.742   8.810121E-7
     2798.143   8.805960E-7
     2798.545   8.801757E-7
     2798.946   8.797570E-7
     2799.347   8.793427E-7
      2799.75   8.789270E-7
     2800.151   8.785372E-7
     2800.554   8.781856E-7
     2800.955   8.778356E-7
     2801.358   8.774858E-7
      2801.76   8.771379E-7
     2802.163   8.767868E-7
     2802.564   8.764352E-7
     2802.966   8.760832E-7
     2803.369   8.757319E-7
     2803.771   8.753821E-7
     2804.172   8.750322E-7
     2804.576   8.746810E-7
     2804.979   8.743295E-7
     2805.381   8.739784E-7
     2805.783   8.736268E-7
     2806.187   8.732750E-7
     2806.589   8.729258E-7
     2806.992   8.725750E-7
