WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
     12461.78            0.
     12462.42            0.
     12463.07            0.
      12463.7   9.307774E-7
     12464.34   1.905761E-6
     12464.98   2.879292E-6
     12465.63   7.864463E-7
     12466.26            0.
      12466.9            0.
     12467.54            0.
     12468.17            0.
     12468.82            0.
     12469.46            0.
      12470.1            0.
     12470.73            0.
     12471.38            0.
     12472.01            0.
     12472.65            0.
     12473.29            0.
     12473.92            0.
     12474.57            0.
     12475.21            0.
     12475.85            0.
     12476.48            0.
     12477.13            0.
     12477.77            0.
      12478.4            0.
     12479.05            0.
     12479.69   2.372355E-7
     12480.32   1.111856E-6
     12480.96   1.476070E-6
     12481.61   1.839742E-6
     12482.25   2.203977E-6
     12482.88   2.559942E-6
     12483.53   2.924197E-6
     12484.17   3.288462E-6
      12484.8   3.644459E-6
     12485.45   5.594859E-6
     12486.08   8.193570E-6
     12486.72   1.084867E-5
     12487.37   1.350384E-5
     12488.01   1.615506E-5
     12488.64   1.875406E-5
     12489.29   2.140947E-5
     12489.93   2.406493E-5
     12490.56   2.152013E-5
     12491.21   1.826087E-5
     12491.85   1.500151E-5
     12492.49   1.174206E-5
     12493.13   8.546724E-6
     12493.77   5.287090E-6
     12494.42   2.027364E-6
     12495.05            0.
     12495.69   7.516763E-7
     12496.34   2.325070E-6
     12496.97   3.862805E-6
     12497.61   5.433908E-6
     12498.24   6.974110E-6
      12498.9   8.578631E-6
     12499.53   1.011892E-5
     12500.18   1.112800E-5
     12500.82   1.065986E-5
     12501.45   1.020234E-5
      12502.1   9.734175E-6
     12502.73   9.275918E-6
     12503.38   8.808444E-6
     12504.02   8.340252E-6
     12504.67   7.872050E-6
      12505.3   7.959641E-6
     12505.94   8.669546E-6
     12506.59   9.380542E-6
     12507.22   1.007649E-5
     12507.87   1.078752E-5
     12508.51   1.149856E-5
     12509.14   1.219456E-5
     12509.79   1.290564E-5
     12510.43   1.256716E-5
     12511.08   1.171921E-5
     12511.71   1.088920E-5
     12512.36   1.004122E-5
       12513.   9.191936E-6
     12513.64   8.361879E-6
     12514.28   7.513841E-6
     12514.91   6.683745E-6
     12515.57   5.709627E-6
     12516.21   4.761781E-6
     12516.85   3.793404E-6
      12517.5   2.823541E-6
     12518.13   1.875634E-6
     12518.78   9.057276E-7
     12519.41            0.
     12520.05            0.
      12520.7            0.
     12521.33            0.
     12521.98            0.
     12522.62            0.
     12523.27            0.
      12523.9            0.
     12524.55            0.
      12525.2            0.
     12525.83            0.
     12526.47            0.
     12527.12            0.
     12527.77            0.
      12528.4            0.
     12529.05            0.
     12529.69            0.
     12530.33            0.
     12530.97            0.
     12531.61            0.
     12532.25            0.
      12532.9            0.
     12533.55            0.
     12534.19            0.
     12534.83   6.340726E-7
     12535.47   1.241875E-6
     12536.11   1.481897E-6
     12536.75   1.727481E-6
      12537.4   1.972701E-6
     12538.03   2.213110E-6
     12538.68   2.458339E-6
     12539.33   2.703945E-6
     12539.97   2.949556E-6
     12540.61   3.402137E-6
     12541.25   3.874294E-6
      12541.9   4.346461E-6
     12542.54   4.807954E-6
     12543.18   5.280142E-6
     12543.82   5.742368E-6
     12544.46   6.214576E-6
     12545.11   6.795425E-6
     12545.76   7.909191E-6
     12546.41   9.022984E-6
     12547.04   1.011328E-5
     12547.69   1.122712E-5
     12548.32   1.231747E-5
     12548.97   1.343135E-5
     12549.62   1.454695E-5
     12550.26   1.480289E-5
     12550.91   1.380995E-5
     12551.54   1.283796E-5
     12552.19   1.184499E-5
     12552.83   1.087296E-5
     12553.47   9.878446E-6
     12554.12   8.885406E-6
     12554.76   7.913317E-6
      12555.4   6.319721E-6
     12556.05   4.367310E-6
     12556.69   2.453141E-6
     12557.33   5.006464E-7
     12557.98            0.
     12558.63            0.
     12559.26            0.
     12559.91            0.
     12560.55            0.
      12561.2            0.
     12561.84            0.
     12562.49            0.
     12563.14            0.
     12563.77            0.
     12564.42            0.
     12565.06            0.
     12565.71            0.
