WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
     3245.212   5.921057E-9
     3245.617   6.058299E-9
     3246.023   6.196586E-9
     3246.427   6.334790E-9
     3246.832   6.473457E-9
     3247.237   6.612633E-9
     3247.645   6.753417E-9
      3248.05   6.893490E-9
     3248.455   7.034061E-9
     3248.861   7.175688E-9
     3249.266   7.317229E-9
     3249.671   7.459127E-9
     3250.078   7.612647E-9
     3250.483   7.810331E-9
      3250.89   8.009613E-9
     3251.295   8.208665E-9
     3251.702   8.409185E-9
     3252.107   8.609375E-9
     3252.512   8.810423E-9
     3252.919   9.012835E-9
     3253.325   9.215229E-9
      3253.73   9.418154E-9
     3254.138   9.622790E-9
     3254.543   9.827018E-9
     3254.949   1.003188E-8
     3255.358   1.023929E-8
     3255.764   1.044561E-8
     3256.169   1.065254E-8
     3256.575   1.086009E-8
     3256.983   1.106927E-8
     3257.389   1.127807E-8
     3257.795   1.148763E-8
     3258.204   1.169972E-8
      3258.61   1.191054E-8
     3259.017   1.212211E-8
     3259.423   1.233425E-8
     3259.831   1.254805E-8
     3260.237   1.280236E-8
     3260.643   1.308684E-8
     3261.051   1.337323E-8
     3261.458   1.365943E-8
     3261.864   1.394651E-8
     3262.272   1.423577E-8
     3262.681   1.452612E-8
     3263.087   1.481594E-8
     3263.496   1.510793E-8
     3263.903   1.539957E-8
      3264.31   1.569228E-8
     3264.716   1.598571E-8
     3265.125   1.628144E-8
     3265.532   1.657666E-8
     3265.941   1.687434E-8
     3266.349   1.717269E-8
     3266.757   1.747083E-8
     3267.164   1.776963E-8
     3267.573   1.807071E-8
      3267.98   1.837139E-8
     3268.387   1.867327E-8
     3268.794   1.897584E-8
     3269.204   1.928066E-8
     3269.611   1.958497E-8
      3270.02   1.989527E-8
      3270.43   2.028076E-8
     3270.837   2.066552E-8
     3271.245   2.105154E-8
     3271.654   2.144025E-8
     3272.062   2.182844E-8
      3272.47   2.221786E-8
     3272.879   2.261025E-8
     3273.289   2.300371E-8
     3273.697   2.339660E-8
     3274.105   2.379057E-8
     3274.515   2.418749E-8
     3274.923   2.458384E-8
     3275.331   2.498117E-8
     3275.741   2.538177E-8
