WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.341392E-17
PIVWV    r 1369.428
BANDW    r 135.2006
TPEAK    r 0.04285724
EQUVW    r 13.62213
RECTW    r 317.849
EMFLX    r 9.694944E-15
     1411.136    0.02909186
     1411.441    0.02905359
     1411.746    0.02901534
     1412.052    0.02897709
     1412.357    0.02893886
     1412.663    0.02890063
     1412.968    0.02886242
     1413.274    0.02882422
      1413.58    0.02878592
     1413.885    0.02874783
     1414.191    0.02870967
     1414.497    0.02867151
     1414.803    0.02863334
     1415.109    0.02859521
     1415.415    0.02855707
     1415.722    0.02851894
     1416.028    0.02848083
     1416.334    0.02844273
     1416.641    0.02840453
     1416.948    0.02836646
     1417.254    0.02832839
     1417.561    0.02829033
     1417.867    0.02825237
     1418.173    0.02821433
      1418.48     0.0281763
     1418.787    0.02813827
     1419.095    0.02810017
     1419.402    0.02806217
     1419.709    0.02802419
     1420.016    0.02798611
     1420.323    0.02794631
      1420.63    0.02790652
     1420.938    0.02786675
     1421.245    0.02782699
     1421.552    0.02778723
      1421.86     0.0277475
     1422.168    0.02770776
     1422.475    0.02766805
     1422.783    0.02762835
     1423.091    0.02758866
     1423.399    0.02754897
     1423.706    0.02750931
     1424.014    0.02746965
     1424.323       0.02743
     1424.631    0.02739027
     1424.939    0.02735074
     1425.247    0.02731114
     1425.555    0.02727153
     1425.864    0.02723194
     1426.172    0.02719237
     1426.481     0.0271528
     1426.789    0.02711325
     1427.098    0.02707369
     1427.407    0.02703416
     1427.716    0.02699454
     1428.025    0.02695503
     1428.334    0.02691555
     1428.643    0.02687607
     1428.952    0.02683658
     1429.261    0.02679713
     1429.569    0.02675776
     1429.879    0.02671833
     1430.189    0.02667935
     1430.498    0.02664082
     1430.808    0.02660231
     1431.117    0.02656382
     1431.427    0.02652534
     1431.736    0.02648685
     1432.046    0.02644839
     1432.356    0.02640994
     1432.666     0.0263715
     1432.976    0.02633307
     1433.286    0.02629466
     1433.596    0.02625625
     1433.906    0.02621785
     1434.216    0.02617947
     1434.526    0.02614111
     1434.837    0.02610274
     1435.147    0.02606441
     1435.457    0.02602606
     1435.769    0.02598765
     1436.079    0.02594934
      1436.39    0.02591105
       1436.7    0.02587285
     1437.011    0.02583458
     1437.321    0.02579633
     1437.632    0.02575807
     1437.943    0.02571984
     1438.254    0.02568162
     1438.566     0.0256434
     1438.878     0.0256051
     1439.189    0.02556691
       1439.5    0.02552874
     1439.812    0.02549057
     1440.123    0.02545212
     1440.435     0.0254132
     1440.746    0.02537431
     1441.057    0.02533553
      1441.37    0.02529656
     1441.681    0.02525771
     1441.993    0.02521887
     1442.305    0.02518005
     1442.617    0.02514123
     1442.929    0.02510242
     1443.241    0.02506363
     1443.553    0.02502486
     1443.866    0.02498608
     1444.178    0.02494734
      1444.49    0.02490861
     1444.803    0.02486988
     1445.116    0.02483116
     1445.428    0.02479248
     1445.741    0.02475378
     1446.054    0.02471511
     1446.366    0.02467645
