WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
     2104.896   4.726798E-9
     2105.272   4.730076E-9
     2105.648   4.733358E-9
     2106.022   4.736630E-9
     2106.398   4.739915E-9
     2106.775   4.743210E-9
      2107.15   4.746485E-9
     2107.526   4.749772E-9
     2107.902   4.753061E-9
     2108.277   4.756341E-9
     2108.653   4.759632E-9
     2109.029   4.762924E-9
     2109.405   4.766210E-9
     2109.782   4.769515E-9
     2110.157   4.771978E-9
     2110.534   4.773306E-9
      2110.91   4.774632E-9
     2111.286   4.775952E-9
     2111.663   4.777275E-9
      2112.04   4.778595E-9
     2112.415   4.779909E-9
     2112.792   4.781227E-9
     2113.169   4.782542E-9
     2113.546   4.783856E-9
     2113.923   4.785169E-9
     2114.301   4.786478E-9
     2114.677   4.787782E-9
     2115.054   4.789090E-9
     2115.431   4.790394E-9
     2115.808   4.791693E-9
     2116.185   4.792994E-9
     2116.563   4.794294E-9
      2116.94   4.795591E-9
     2117.318   4.796888E-9
     2117.695   4.798178E-9
     2118.073   4.799470E-9
     2118.451   4.800761E-9
     2118.829   4.802049E-9
     2119.206   4.803332E-9
     2119.583   4.804616E-9
     2119.962   4.805901E-9
      2120.34   4.804595E-9
     2120.719   4.802993E-9
     2121.096   4.801388E-9
     2121.474   4.799775E-9
     2121.853   4.798155E-9
      2122.23   4.796533E-9
     2122.609   4.794900E-9
     2122.988   4.793262E-9
     2123.366   4.791617E-9
     2123.745   4.789966E-9
     2124.124   4.788310E-9
     2124.502   4.786652E-9
     2124.881   4.784984E-9
      2125.26   4.783309E-9
